Vehicle Histogram (veh/h - for PTV Vissim),nan,nan,Av. Húsares de Junín (OE),Av. Garzón (SN),nan,Divided by 4 (veh/min),Av. Garzón (SN),nan,nan,nan,스페인어(원본)	,한국어 번역	,설명
FECHA,15 minutos,Horario,PM237-0-04,PM237-0-07,Volumen Total,PM237-0-04,PM237-0-07,Volumen Total,0,0,FECHA,날짜,데이터가 수집된 날짜
0,2,08:15:00,800,712,1512,200,178,378,0,0,0,0,0
0,3,08:30:00,664,756,1420,166,189,355,0,0,0,0,0
0,4,08:45:00,880,832,1712,220,208,428,0,0,0,0,0
0,1,09:00:00,832,700,1532,208,175,383,0,0,0,0,0
0,2,09:15:00,816,756,1572,204,189,393,0,0,0,0,0
0,3,09:30:00,944,688,1632,236,172,408,0,0,0,0,0
0,4,09:45:00,876,828,1704,219,207,426,0,0,0,0,0
0,1,10:00:00,944,680,1624,236,170,406,0,0,0,0,0
0,2,10:15:00,960,876,1836,240,219,459,0,0,0,0,0
0,3,10:30:00,872,956,1828,218,239,457,0,0,0,0,0
0,4,10:45:00,1016,828,1844,254,207,461,0,0,0,0,0
0,1,11:00:00,1052,780,1832,263,195,458,0,0,0,0,0
0,2,11:15:00,1036,708,1744,259,177,436,0,0,0,0,0
0,3,11:30:00,908,880,1788,227,220,447,0,0,0,0,0
0,4,11:45:00,924,836,1760,231,209,440,0,0,0,0,0
0,1,12:00:00,724,928,1652,181,232,413,0,0,0,0,0
0,2,12:15:00,868,1036,1904,217,259,476,0,0,0,0,0
0,3,12:30:00,944,1032,1976,236,258,494,0,0,0,0,0
0,4,12:45:00,940,1016,1956,235,254,489,0,0,0,0,0
0,1,13:00:00,1024,880,1904,256,220,476,0,0,0,0,0
0,2,13:15:00,956,840,1796,239,210,449,0,0,0,0,0
0,3,13:30:00,1196,908,2104,299,227,526,0,0,0,0,0
0,4,13:45:00,1140,1024,2164,285,256,541,0,0,0,0,0
0,1,14:00:00,988,956,1944,247,239,486,0,0,0,0,0
0,2,14:15:00,968,816,1784,242,204,446,0,0,0,0,0
0,3,14:30:00,1040,748,1788,260,187,447,0,0,0,0,0
0,4,14:45:00,956,744,1700,239,186,425,0,0,0,0,0
0,1,15:00:00,1052,860,1912,263,215,478,0,0,0,0,0
0,2,15:15:00,1020,680,1700,255,170,425,0,0,0,0,0
0,3,15:30:00,988,764,1752,247,191,438,0,0,0,0,0
0,4,15:45:00,876,680,1556,219,170,389,0,0,0,0,0
0,1,16:00:00,952,652,1604,238,163,401,0,0,0,0,0
0,2,16:15:00,848,816,1664,212,204,416,0,0,0,0,0
0,3,16:30:00,732,812,1544,183,203,386,0,0,0,0,0
0,4,16:45:00,820,792,1612,205,198,403,0,0,0,0,0
0,1,17:00:00,812,652,1464,203,163,366,0,0,0,0,0
0,2,17:15:00,956,656,1612,239,164,403,0,0,0,0,0
0,3,17:30:00,896,696,1592,224,174,398,0,0,0,0,0
0,4,17:45:00,988,720,1708,247,180,427,0,0,0,0,0
0,1,18:00:00,932,720,1652,233,180,413,0,0,0,0,0
0,2,18:15:00,944,652,1596,236,163,399,0,0,0,0,0
0,3,18:30:00,924,752,1676,231,188,419,0,0,0,0,0
0,4,18:45:00,924,720,1644,231,180,411,0,0,0,0,0
0,1,19:00:00,996,828,1824,249,207,456,0,0,0,0,0
0,2,19:15:00,768,620,1388,192,155,347,0,0,0,0,0
0,3,19:30:00,924,620,1544,231,155,386,0,0,0,0,0
0,4,19:45:00,896,796,1692,224,199,423,0,0,0,0,0
0,1,20:00:00,908,632,1540,227,158,385,0,0,0,0,0
0,2,20:15:00,948,764,1712,237,191,428,0,0,0,0,0
0,3,20:30:00,956,696,1652,239,174,413,0,0,0,0,0
0,4,20:45:00,932,736,1668,233,184,417,0,0,0,0,0
0,1,21:00:00,944,644,1588,236,161,397,0,0,0,0,0
0,2,21:15:00,1048,568,1616,262,142,404,0,0,0,0,0
0,3,21:30:00,792,616,1408,198,154,352,0,0,0,0,0
0,4,21:45:00,804,496,1300,201,124,325,0,0,0,0,0
0,1,22:00:00,828,504,1332,207,126,333,0,0,0,0,0
0,2,22:15:00,748,408,1156,187,102,289,0,0,0,0,0
0,3,22:30:00,720,476,1196,180,119,299,0,0,0,0,0
0,4,22:45:00,760,440,1200,190,110,300,0,0,0,0,0
0,1,23:00:00,660,360,1020,165,90,255,0,0,0,0,0
0,2,23:15:00,528,404,932,132,101,233,0,0,0,0,0
0,3,23:30:00,528,316,844,132,79,211,0,0,0,0,0
0,4,23:45:00,608,316,924,152,79,231,0,0,0,0,0
